en,zh-Hans
7. Purpose of the insurance,7. 保险目的
Relationship to policy owner,与保单持有人关系
Insured's occupation summary,被保人职业概要
Address of company or school,公司地址/学校地址
Critical Illness Sum Assured,重大疾病保险金额
First premium payment method,首期保费支付方式
Personal / Family protection,个人 保护/家庭保护
(d) Company/business interest,(d) 商业利益
High risk occupation/industry,高风险职业/行业
Current U.S. telephone number;,目前美国电话号码;
2. Money-lending (unregulated),2. 财务借贷（未受监管）
Insured's detailed information,被保人详细信息
Is payment made by third party,是否第三方支付
Reason for third party payment,第三方支付原因
"If yes, please provide details","如果'是', 请提供详情"
Keyman/Business loan protection,关键人贷款保护/商业贷款保护
Others (Please provide details),其他 (请提供详情)
Spouse Benefit Application Form,配偶利益申请表
Are you sure to delete this item,您确定要删除此项目吗？
Other Nervous or Mental Disorder,其他神经或精神障碍
Name (as shown in NRIC/Passport),名称 (与身份证件上一致)
Life Assured - Existing Policies,被保人 - 已有保单
Policy Owner - Existing Policies,投保人 - 已有保单
Doctor residing outside Singapore,居住在中国以外的医生
"If deceased, age at death (years)",如果死亡，死亡年龄 (年)
Additional party to joint account,联名帐户的附加当事人
Nature of the test/operation done,检查/手术的性质
Policy owner's occupation summary,保单持有人职业概要
Relationship to Financial Adviser,和财务顾问的关系
Source of funds for policy premium,保费的资金来源
Source of Funds for Policy Premium,保费资金来源
Name and address of doctor/hospital,医生/医院的名称和地址
Policy owner's detailed information,保单持有人详细信息
NRIC/Passport number of card holder,持卡人证件号码
Life assured income before tax (BWP),被保险人税前收入 (人民币)
Policy owner income before tax (BWP),投保人税前收入 (人民币)
Quote / Benefit Illustration details,报价详情/利益演示详情
"5. Pub, bar, nightclub or discotheque",5. 夜店、酒吧或迪斯科舞厅
All amounts should be BWP equivalent.,所有金额应为等值的人民币.
Please select the appropriate options,请选择适当的选项
Savings from employment / Trade income,工作收入/交易收入
Policyholder medical conditions details,保单持有人医疗条件详情
Name of condition and date of diagnosis,条件名称和诊断日期
Name and address of each doctor/hospital,每个医生/医院的名称和地址
"1. Casinos, gambling or betting industry",1. 赌场、赌博或博彩业
Third Party payer / Joint account holder,第三方支付人/联名账户持有人
Name of Financial Adviser Representative,财务顾问代表的名称
"Nature of tests done, results and reasons","检查性质,结果和原因"
Accidental death & disability Sum Assured,意外死亡及伤残保险金额
Foreign Account Tax Compliance Act (FATCA),海外账户纳税法案 (FATCA)
Date of the test/operation/hospitalization,检查日期/手术日期/住院日期
Total and permanent disability Sum Assured,总计和永久残疾保险金额
Children education / Children's protection,儿童教育 / 儿童保护
Please tick the following where applicable,请勾选以下适用选项
"Cancer, tumour, cyst or growth of any kind?",癌症、肿瘤、囊肿、息肉、结节、肿块、肿大及赘生。
Estimated annual income of policyowner(BWP),保单持有人预计年收入（人民币）
Is Policy owner making premium payment from,保单持有人从以下账户支付保费
Estimated annual income of life assured(BWP),被保险人预计年收入（人民币）
Is Credit card owner other than policy owner,持卡人是否与保单持有人不同
1. Name of the life assured and policy owner,1. 被保人和投保人的姓名
(c) Country of appointment of public official,(c) 任职国家
Are you the beneficial owner of this policy ?,你是这个保单的受益人吗 ?
Please complete the following questionnaire(s),请完成以下调查问题
(i) You may not be insurable on standard terms;,您可能不适合标准条款的保险;
Insured's & Policy owner's detailed information,被保人和保单持有人详细信息
Unambiguous indication of a U.S. place of birth;,明确标识的美国出生地;
Does life assured have any existing policy(ies)?,被保人是否已有保险单?
Does policy owner have any existing policy(ies)?,投保人是否已有保险单?
Receipt of disclosure Documents at Point of Sale.,在销售点收到的公开文件.
Please complete the Application for Interbank GIRO.,请完成银行间转账申请表。
is supervised by the Monetary Authority of ShangHai.,由上海金融管理局监督.
• Bank statement showing receipt of my sale proceeds,• 银行对账单显示收到我的销售收益
Name of Third Party Payer(as shown in NRIC/PASSPORT),第三方支付人姓名（与身份证件上一致）
Reason for credit card owner other than policy owner,持卡人与保单持有人不同原因
Joint account holder name(as shown in NRIC/PASSPORT),联名账户持有人姓名（与身份证件上一致）
"9. Jewels, gems, precious metals, stones and diamonds",9. 珠宝、宝石、贵金属、原石以及钻石
Note: Download questionnaire(s) from Knowledge Centre,注意: 从知识中心下载问卷
"3. Money exchange, money changing or remittance agencies",3. 货币兑换或汇款机构
2. How long have you known the Life assured/Policy owner?,2. 你认识被保人/投保人多久了?
In-care-of or hold mail address is the sole address in U.S.,托管或保留邮件地址是在美国的唯一地址。
"Nature of test done, date, results and reasons for the tests","检查性质,日期,结果和检查理由"
• A copy of my recent financial accounts (I am self-employed),• 我最近财务账户的一份复印件 (我是个体户)
"Diabetes, thyroid disorders or any other endocrine disorders?",糖尿病、血糖异常、痛风、甲状腺或甲状旁腺疾病、垂体机能亢进或减退、肢端肥大症、柯兴氏症、肾上腺疾病、高血脂症、其他先天或后天代谢紊乱性疾病。
Cheque to be made payable to 'eBao Tech (Shanghai) Pte. Ltd'.,支付给易保网络技术 (上海)有限公司的支票.
Is first premium payer and renewal premium payer same person?,首期保费支付人与续期保费支付人是否为同一人？
"No, please provide justification below for the replacement(s)","不, 请在下面提供代替的正当理由"
4. Junket operators (organizes gambling/casino tours or trips),4. 赌场中介人（安排赌博/赌场游乐行程）
(ii) You may have to pay a higher premium in view of higher age;,(ii) 你可能不得不在较大的年龄支付更高的保费;
I have disclosed relevant information for comprehensive planning.,我已披露有关全面规划的资料.
Are you making any concurrent applications to other life offices?,你现在是否有向其他人寿险公司投保?
"• Property sale only-signed letter from my solicitor, estate agent","• 来之我的律师, 经纪人的唯一签名的物业出售信"
Identification of the account holder as a U.S. citizen or resident;,美国公民或住民的账户持有人身份证明;
Estimated annual income of third party / Joint account holder (BWP),第三方付款人/联名账户持有人预计年（人民币）收入
"Do you have a regular doctor? If 'YES', please provide details below","你有固定的医生吗？ 如果'是', 请提供以下详情"
I have disclosed relevant information for specific need(s) planning.,我已披露有关具体需要的有关资料.
"If 'YES', Please check the appropriate box below to state the reason.","如果'是', 请选择以下合适的框说明原因。"
Have you ever had been treated for or been told to get treatment for,你有没有接受过治疗或被告知要得到治疗
(iii) You may lose the financial benefits accumulated over the years.,(iii) 你可能会失去多年积累的经济利益.
First premium payment - Information related to source of fund and wealth,首期保费支付方式--收入来源相关信息
Is the policy owner making the payment from an account in your sole name?,保单持有人是以你的名义从帐户付款吗？?
Please indicate if your occupation is related to one or more of following,请告知您从事的职业是否与下列行业有关
Renewal premium payment - Information related to source of fund and wealth,续期保费支付--收入来源相关信息
5. Please provide the estimated net worth of Life assured and Policy owner,5. 请提供被保险人和投保人的净资产估计
"6. Nuclear energy (including production, storage, sale, disposal or transport)",6. 核能（包括制造、存储、销售、处置或转运）
"Any other illness, disorder, physical disability or accident not mentioned above?",任何其他上面没有提及的疾病，身体失调，身体残疾或意外事故？
"7. Arms or machinery (including production, storage, sale, disposal or transport)",7. 军火或装备（包括制造、存储、销售、处置或转运）
FATCA,FATCA
Disclosure,信息公开
Beneficial Ownership,受益人信息
Existing Policy,已有保单
Review proposal,检查投保
Occupation details,职业详情
Lifestyle information,生活方式
Family history,家族病史
Health questions,健康问题
Doctor information,医生信息
Save successfully.,保存成功.
Save failure.,保存失败.
All fields are not filled.,所有项目都没有输入.
Complete all fields marked with *.,请完成*项目的输入.
Missing Information - Life assured - ,缺失信息 - 被保人 - 
Missing Information - Policy owner - ,缺失信息 - 投保人 - 
Invalid email address.,无效的邮件地址.
Email has been sent successfully.,邮件发送成功.
Mail failure.,邮件发送失败.
"{*.jpg, *.bmp, *.png, *.pdf} file can only be uplaoded.","只能上传{*.jpg, *.bmp, *.png, *.pdf}类型的文件."
File already exists.,文件已经存在.
Please select a file.,请选择一个文件.
Document is saved.,文档已经保存.
Document not saved.,文档没有保存.
Application form already e-Signed.,投保单已经签字.
Missing Information - Policy delivery option,缺失信息 - 保单交付选择
Quote already e-Signed.,报价单已经签字.
This proposal has been posted to core system successfully.,投保单已经成功发送给核心系统.
By Mail,通过邮件
By Adviser,通过顾问
Missing Information- ,缺失信息- 
Missing Information- First premium payment method- ,缺失信息- 首期保费支付方式- 
Missing Information- Renewal premium payment method- ,缺失信息- 续期保费支付方式- 
Missing Information- First premium payment method- Self-,缺失信息- 首期保费支付方式- 本人-
Missing Information- Renewal premium payment method- Self- ,缺失信息- 续期保费支付方式- 本人- 
Missing Information- First premium payment method- Third Party payer / Joint account holder- ,缺失信息- 首期保费支付方式- 第三方付款人 / 联名账户持有人- 
Missing Information- Renewal premium payment method- Third Party payer / Joint account holder-  ,缺失信息- 续期保费支付方式- 第三方付款人 / 联名账户持有人-  
Single premium,趸缴保费
Regular Premium,期缴保费
Single,趸缴
Doctor information - No record is added,医生信息 - 未追加记录
Application form is not e-signed,投保单没有签字
Sticks per Month,每月多少根
Smoke years,吸烟年数
's occupation summary,职业概要
's Prominent public function,公职信息
's High risk occupation/industry,高风险职业/行业
's occupation,职业
's other occupation,其他职业
Other employment status,其他职业状态
Please indicate,请注明
eSign,电子签名
Illustration Metric,图表度量
Metrics,度量
Illustration,图表
Total Premiums,合计保费
Main Benefit,主险
Sum Assured/Unit/Level,保额/单位/等级
Death Benefit,死亡保障
Maturity,满期给付金
Cash Bonus,现金红利
Reversionary Bonus,保额红利
Terminal Bonus,终了红利
Survival Benefit,生存给付金
Annuity Period,年金给付期限
Guarantee Year,保证领取期
Annuity Method,年金给付方式
Annuity Frequency,年金给付类型
Free Look Period,犹豫期
Grace Period,宽限期
Policy Loan Allowed,允许保单贷款
Auto Policy Loan Allowed,允许自动保费垫缴
Plan,产品
PlanA,产品A
PlanB,产品B
PlanC,产品C
PlanD,产品D
Please enter original password.,请输入原密码。
Please enter original password.,请输入原密码。
Please enter new password.,请输入新密码。
Please enter new password.,请输入新密码。
Please enter repeat password.,请输入重复密码。
Please enter repeat password.,请输入重复密码。
Please enter user ID.,请输入用户名。
Please enter user ID.,请输入用户名。
Please enter your registered email address.,请输入注册的电子邮箱。
Please enter your registered email address.,请输入注册的电子邮箱。
Please enter password.,请输入密码。
Please enter password.,请输入密码。
Please enter OTP pin.,请输入验证码。
Please enter OTP pin.,请输入验证码。
Select the file to be uploaded.,请选择需上传的文件
Warning,警告
